academic,asn
University of California - San Diego,AS7377
California State University,AS2152
Massachusetts Institute of Technology,AS306
Michigan State University,AS231
University of Texas System,AS3354
City University of New York,AS31822
Indiana University,AS87
University of Wisconsin System,AS3128
Rice University,AS8
The Pennsylvania State University,AS3999
Purdue University,AS17
University of Utah,AS17055
Stanford University,AS23
University of Wisconsin Madison,AS59
University of California - Los Angeles,AS52
University of Minnesota,AS217
Argonne National Lab,AS683
University of Texas at Austin,AS18
University of Washington,AS73
University of Maine System,AS557
