citygov,state,asn
City of New York,NY,AS22252
New York City Health and Hospitals Corporation,NY,AS11584
New York City Board of Education,NY,AS21704
New York City Employees Retirement System,NY,AS22045
New York City Board of Elections,NY,AS22422
New York City Police Department,NY,AS33138
City of New York Public Safety,NY,AS398875
City of Los Angeles,CA,AS4179
City of Chicago,IL,AS394534
City of Houston Public Works,TX,AS19725
City of Houston,TX,AS32457
City of Phoenix,AZ,AS3656
City of Phoenix,AZ,AS16502
City of Phoenix,AZ,AS399416
City of Philadelphia,PA,AS11205
City of San Antonio,TX,AS3709
City of San Diego,CA,AS33614
City of Dallas,TX,AS30397
City of San Jose,CA,AS21589
City of Austin,TX,AS393759
City of Austin Public Safety,TX,AS396315
City of Jacksonville,FL,AS36548
City of Columbus,OH,AS16426
City of Seattle,WA,AS3401
City of Seattle City Light,WA,AS46517
City and County of Denver,CO,AS18815
Denver International Airport,CO,AS40959
Government of the District of Columbia,DC,AS14072
City of Las Vegas,NV,AS22014
City of Las Vegas,NV,AS26263
City of Memphis,TN,AS14303
City of Boston,MA,AS27370
City of Portland,OR,AS12102
Louisville Jefferson County Metro Government,KY,AS46153
City of Baltimore Mayor Office of Information Technology,MD,AS26051
City of Baltimore Mayor Office of Information Technology,MD,AS393555
City of Albuquerque,NM,AS26439
City of Tucson,AZ,AS13918
City of Tucson Wireless,AZ,AS398893
City of Miami,FL,AS47032
City of New Orleans,LA,AS62841
City of Raleigh,NC,AS18482
City of Tampa,FL,AS29935
City of Pittsburgh,PA,AS26059
City of Sacramento,CA,AS23281
City of Kansas City,MO,AS14736
City of Kansas City,MO,AS36045
City of Indianapolis,IN,AS395789
City and County of San Francisco,CA,AS395011
Salt Lake City Corporation,UT,AS22473
City of Detroit,MI,AS397871
City of Charlotte,NC,AS32629
City and County of Honolulu,HI,AS46744
