insurer,asn_name,asn
"Kaiser Foundation Health Plan, Inc.",KAISER-NCAL,AS3379
Keystone Mercy Health Plan,KMHP-AS-ARIN,AS3914
Blue Cross Blue Shield Association,UNIFIED-NET,AS5694
Blue Cross Blue Shield of Nebraska,BCBSNE,AS6077
"Aetna, Inc.",AETNA,AS6646
UnitedHealth Group Incorporated,UNITEDHEALTH-GROUP,AS7917
UnitedHealth Group Incorporated,GEOACCESS-AS,AS10571
CIGNA,CIGNA-1,AS11406
Blue Cross & Blue Shield of Minnesota,BLUE-CROSS-AND-BLUE-SHIELD-OF-MINNESOTA,AS11517
UnitedHealth Group Incorporated,CAPARIO,AS11591
Centene Corporation,WELLCARE-INET1-AS,AS11882
CIGNA,CIGNA-2,AS13348
HORIZON BLUE CROSS BLUE SHIELD OF NJ,HORIZON-BLUE-CROSS-BLUE-SHIELD-OF-NJ,AS13652
Blue Cross Blue Shield of North Dakota,BCBSND-AS,AS13660
UnitedHealth Group Incorporated,CHANGEHEALTHCARE,AS14045
Blue Shield of California,BSC-BRANCHOFFICE02,AS15073
Centene Corporation,CENTENE-CORPORATION,AS15271
Providence Health Plan,NET-PROVPHP,AS16777
"HealthPlan Services, Inc.",ASN-HEALT-82,AS16860
HUMANA,HUM-19510,AS19510
"Vantage Health Plan, Inc.",VHP-ASN,AS19694
Magellan Health Services,MHN,AS19721
SCAN Health Plan,SCAN,AS19768
Blue Cross and Blue Shield of Alabama,BCBS-AL,AS20098
Blue Cross Blue Shield of Illinois or Blue Cross Blue Shield of Texas,HCSCNET10,AS21608
Blue Cross Blue Shield Of Louisiana,BCBSLA-ASN,AS21639
Highmark Inc,HIGHMARK,AS21965
MVP Health Plan Inc.,MVP,AS22475
Blue Cross and Blue Shield of North Carolina,BCBSNC-AS,AS22593
"Elevance Health, Inc.",ANTHEM,AS22703
Blue Cross Blue Shield of Illinois or Blue Cross Blue Shield of Texas,HSC,AS23494
UnitedHealth Group Incorporated,MAMSI,AS25690
Blue Cross Blue Shield of South Carolina,BCBSSC,AS26153
"Excellus Health Plan, Inc.",AS-EXCELLUS,AS26182
"Harvard Pilgrim Health Care, Inc.",HARVARD-PILGRIM-HEALTH-CARE,AS26746
Independence Blue Cross,IBC-N1,AS27402
Premera Blue Cross,PBC-WA,AS29823
Blue Cross Blue Shield of Michigan Mutual Insurance,BCBSM,AS30356
SUMMACARE HEALTH PLAN,SUMMACARE-HEALTH-PLAN-ASN,AS31897
"Blue Cross and Blue Shield of Massachusetts, Inc.",BCBSMA,AS32165
Anthem Broadband,ANTHEMBB,AS32444
"Kaiser Foundation Health Plan, Inc.",ASN-GHC,AS32974
Anthem Broadband,ANTHEMCONNECT,AS33037
UnitedHealth Group Incorporated,OPTUMINSIGHT-FRANKLIN,AS35896
Centene Corporation,CENTENE,AS36092
Molina Healthcare Inc.,MOLINA,AS36524
Blue Cross and Blue Shield of Arizona Inc,BCBSAZ,AS46586
Blue Shield of California,BSC-BRANCHOFFICE01,AS54152
BlueCross BlueShield of Tennessee,BCBST,AS54174
"CareFirst Management Company, LLC",CAREFIRST-BCBS-01,AS54492
Anthem Broadband,ANTHEMCONNECT-LA2,AS55262
WELLMARK BLUE CROSS AND BLUE SHIELD,WELLMARK,AS55292
Inland Empire Health Plan,IEHP,AS62561
Blue Shield of California,SAC-COLO1,AS63138
Blue Shield of California,LAS-COLO2,AS63174
Anthem Broadband,SAFELINK-EI,AS394100
San Francisco Health Plan,SFHEALTHPLAN,AS394975
Blue Cross Blue Shield of Illinois or Blue Cross Blue Shield of Texas,AS-MS-31608,AS395039
Centene Corporation,CENTE-5,AS395179
PARTNERSHIP HEALTHPLAN OF CALIFORNIA,PHPC-ASN,AS395550
"Blue Cross Blue Shield of Kansas, Inc.",BCBSKS,AS395698
Blue Cross and Blue Shield of Kansas City,BCBSKC,AS395721
Premera Blue Cross,PBC-QNC-WA,AS395778
"Dean Health Plan, Inc.",DHP-ASN-PRI,AS396843
"United Health Services Hospitals, Inc.",UHS-AS-01,AS397105
Prominence Health Plan,PHP-ASN,AS398214
"American Postal Workers Union, AFL-CIO Health Plan",APWUHP-NET,AS398776
Blue Cross Blue Shield of Illinois or Blue Cross Blue Shield of Texas,AS-MS-78058,AS399432
Blue Cross Blue Shield of Illinois or Blue Cross Blue Shield of Texas,AS-MS-78058,AS399433
Blue Cross Blue Shield of Illinois or Blue Cross Blue Shield of Texas,AS-MS-78065,AS399721
Blue Cross Blue Shield of Illinois or Blue Cross Blue Shield of Texas,AS-MS-78065,AS399722
Premera Blue Cross,PBC-SEA-WA-POP,AS399776
Inland Empire Health Plan,IEHP-AT,AS399876
"BLUE CROSS & BLUE SHIELD OF MISSISSIPPI, A MUTUAL INSURANCE COMPANY",BBM-146-ASN-1,AS401150
"Capital Health Plan, Inc.",CHP,AS401283
"METROPLUS HEALTH PLAN, INC.",METROPLUS-HEALTH,AS401460
